length,layers_num,layers_type,units,g_filt,val_mae_og
15,2,LSTM,40,1.0,1.7415002287941428
30,2,LSTM,40,1.0,1.753275824274337
60,2,LSTM,40,1.0,1.7083306495959951
60,1,LSTM,40,1.0,1.7207076534858121
60,2,LSTM,40,1.0,1.7296385611020613
60,1,LSTM,40,1.0,1.7513297968644361
60,1,LSTM,20,1.0,1.7665929899460238
60,1,LSTM,40,1.0,1.760079856530215
60,1,LSTM,80,1.0,1.7271340617155424
60,1,LSTM,80,0.5,2.990861075474667
60,1,LSTM,80,0.75,2.2971286807916114
60,1,LSTM,80,1.0,1.7308977048825003
60,1,LSTM,80,1.25,1.9047076186155676
